#,Position,Seniority Tier,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
39,Senior Data Engineer,Senior DE,5/16/2026,,,,,
40,Senior Data Engineer,Senior DE,5/16/2026,,,,,
41,Senior Data Engineer,Senior DE,5/16/2026,,,,,
42,Senior Data Engineer,Senior DE,5/16/2026,,,,,
43,Senior Data Engineer,Senior DE,5/16/2026,,,,,
44,Senior Data Engineer,Senior DE,5/16/2026,,,,,
45,Senior Data Engineer,Senior DE,5/16/2026,,,,,
46,Senior Data Engineer,Senior DE,5/16/2026,,,,,
47,Senior Data Engineer,Senior DE,5/16/2026,,,,,
48,Senior Data Engineer,Senior DE,5/16/2026,Y,5/20/2026,Yes,Y,N
49,Senior Data Engineer,Senior DE,5/16/2026,,,,,
50,Senior Data Engineer,Senior DE,5/16/2026,,,,,
51,Senior Data Engineer,Senior DE,5/16/2026,,,,,
52,Senior Data Engineer,Senior DE,5/16/2026,,,,,
53,Senior Data Engineer,Senior DE,5/16/2026,,,,,
54,Senior Data Engineer,Senior DE,5/16/2026,Y,5/18/2026,,,
55,Senior Data Engineer,Senior DE,5/16/2026,,,,,
56,Senior Data Engineer,Senior DE,5/16/2026,,,,,
